,Unnamed: 0,fips_final,NAME,num_hospitals,num_licensed_beds,num_staffed_beds,num_icu_beds,adult_icu_beds,pedi_icu_beds,potential_increase_in_bed_capac,bed_utilization,avg_ventilator_usage,population,cases_total,deaths_total,cases_per_capita,deaths_per_capita,case_fatality_rate,Unnamed: 0.1,county,STATEFP,COUNTYFP,CountyName,StateName,State,dem_to_rep_ratio,stay.at.home,X.50.gatherings,X.500.gatherings,public.schools,restaurant.dine.in,entertainment.gym,federal.guidelines,foreign.travel.ban,Total!!Male,Total!!Female,Total,Total!!Population of one race,Total!!Population of one race!!White,Total!!Population of one race!!Black or African American,Total!!Population of one race!!American Indian and Alaska Native,Total!!Population of one race!!Asian,Total!!Population of one race!!Asian!!Asian Indian,Total!!Population of one race!!Asian!!Chinese (including Taiwanese),Total!!Population of one race!!Asian!!Filipino,Total!!Population of one race!!Asian!!Japanese,Total!!Population of one race!!Asian!!Korean,Total!!Population of one race!!Asian!!Vietnamese,Total!!Population of one race!!Asian!!Other Asian,Total!!Population of one race!!Native Hawaiian and Other Pacific Islander,Total!!Population of one race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Total!!Population of one race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Total!!Population of one race!!Native Hawaiian and Other Pacific Islander!!Samoan,Total!!Population of one race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Total!!Population of one race!!Some Other Race,Total!!Population of Two or More Races,Total!!Population of Two or More Races!!White; American Indian and Alaska Native,Total!!Population of Two or More Races!!White; Asian,Total!!Population of Two or More Races!!White; Black or African American,Total!!Population of Two or More Races!!White; Some Other Race,mob_retail,mob_grocery,mob_parks,mob_transit,mob_workplace,mob_residential,0-17,18-44,45-64,65-74,75+
0,0,1001,"Autauga County, Alabama",1,85,55,6,6,0,30,0.62311333,2,55869,53,3,0.000948648,5.37E-05,0.056603774,120,Autauga,1,1,Autauga,AL,Alabama,0.326656394,737519,737504,737497,737500,737503,737512,737500,737495,26569,28002,54571,53702,42855,9643,232,474,61,67,82,41,123,51,49,32,7,13,1,11,466,869,262,177,219,50,-16.40363636,5.174545455,-34,,-24.73454545,10.94761905,14613,19347,14065,4013,2533
1,1,1003,"Baldwin County, Alabama",4,386,362,51,51,0,24,0.562202878,2,223234,188,4,0.000842166,1.79E-05,0.021276596,129,Baldwin,1,3,Baldwin,AL,Alabama,0.253255217,737519,737504,737497,737500,737503,737512,737500,737495,89196,93069,182265,179542,156153,17105,1216,1348,242,303,236,61,83,160,263,89,31,44,3,11,3631,2723,1035,336,658,311,-21.07474747,-5.712121212,-3.723232323,-14.6020202,-23.0030303,8.606817135,41898,58343,51456,17803,12765
2,2,1005,"Barbour County, Alabama",1,74,30,5,5,0,44,0.43063974,2,24686,45,1,0.001822896,4.05E-05,0.022222222,141,Barbour,1,5,Barbour,AL,Alabama,0.893105977,737519,737504,737497,737500,737503,737512,737500,737495,14576,12881,27457,27199,13180,12875,114,107,34,14,7,2,15,26,9,29,4,25,0,0,894,258,49,7,76,34,-14.2684884,-5.681071737,,,-17.28270094,,6015,9899,7634,2238,1671
3,3,1007,"Bibb County, Alabama",1,35,25,4,4,0,10,0.43090412,1,22394,42,0,0.001875502,0,0,216,Bibb,1,7,Bibb,AL,Alabama,0.278124072,737519,737504,737497,737500,737503,737512,737500,737495,12301,10614,22915,22712,17381,5047,64,22,8,4,4,0,0,1,5,13,0,13,0,0,185,203,77,16,50,16,-19.80587121,-4.359532828,3.346263911,-6.092929293,-22.45555556,9.632323232,5201,8687,6121,1723,1183
4,4,1009,"Blount County, Alabama",1,25,25,6,6,0,0,0.4990685,2,57826,40,0,0.00069173,0,0,236,Blount,1,9,Blount,AL,Alabama,0.094317337,737519,737504,737497,737500,737503,737512,737500,737495,28362,28960,57322,56638,53068,761,307,117,25,27,33,1,8,9,14,38,6,30,0,2,2347,684,330,74,112,102,-16.99802928,1.341145833,28.59935897,-48.30208333,-24.65364583,9.384230857,14106,19416,15361,5079,3360
5,5,1011,"Bullock County, Alabama",1,61,30,5,5,0,31,0.21287671,1,10101,16,0,0.001584002,0,0,324,Bullock,1,11,Bullock,AL,Alabama,3.096491228,737519,737504,737497,737500,737503,737512,737500,737495,5912,5002,10914,10828,2507,7666,23,20,2,3,11,1,0,0,3,43,0,43,0,0,569,86,28,3,12,3,-11.75,-13.38888889,,,-21.79047619,,2430,3911,3104,835,634
6,6,1013,"Butler County, Alabama",1,72,44,7,7,0,28,0.18711084,2,19448,114,1,0.005861785,5.14E-05,0.00877193,342,Butler,1,13,Butler,AL,Alabama,0.76025301,737519,737504,737497,737500,737503,737512,737500,737495,9838,11109,20947,20786,11399,9095,60,177,44,11,6,0,109,0,7,7,0,1,6,0,48,161,41,17,58,13,-11.93540052,-4.05721393,39.9380531,-12.33888889,-19.98823529,8.991836735,5056,6597,5805,1829,1660
7,7,1015,"Calhoun County, Alabama",3,486,435,30,30,0,51,0.431563297,5,113605,105,3,0.000924255,2.64E-05,0.028571429,371,Calhoun,1,15,Calhoun,AL,Alabama,0.402921041,737519,737504,737497,737500,737503,737512,737500,737495,57176,61396,118572,116597,88840,24382,540,845,179,108,123,57,165,88,125,96,17,38,31,10,1894,1975,520,223,676,143,-14.83154122,0.208201893,4.506024096,-13.39583333,-18.81074766,8.423611111,27126,42361,32095,9437,7553
8,8,1019,"Cherokee County, Alabama",1,60,45,8,8,0,15,0.24253164,1,26196,16,0,0.00061078,0,0,495,Cherokee,1,19,Cherokee,AL,Alabama,0.172791243,737519,737504,737497,737500,737503,737512,737500,737495,12888,13101,25989,25602,24081,1208,135,54,14,14,20,3,0,1,2,1,1,0,0,0,123,387,206,19,94,35,-12.56920078,3.050574713,43.74683544,-5.305555556,-18.50541516,7.596707819,5566,7829,7943,2909,1742
9,9,1021,"Chilton County, Alabama",1,30,26,6,6,0,4,0.28545839,2,44428,58,1,0.001305483,2.25E-05,0.017241379,516,Chilton,1,21,Chilton,AL,Alabama,0.193024335,737519,737504,737497,737500,737503,737512,737500,737495,21608,22035,43643,43137,36713,4230,155,130,21,19,33,10,6,14,27,55,2,41,7,5,1854,506,142,44,158,97,-15.17952381,1.428181818,-25.5,-10.26727273,-20.06727273,8.747619048,10960,15271,11491,3445,2476
