,dem_to_rep_ratio,stay.at.home,X.50.gatherings,X.500.gatherings,public.schools,restaurant.dine.in,entertainment.gym,Total!!Male,Total!!Female,Total,Total!!Population of one race,Total!!Population of one race!!White,Total!!Population of one race!!Black or African American,Total!!Population of one race!!American Indian and Alaska Native,mob_retail,mob_grocery,mob_parks,mob_transit,mob_workplace,mob_residential,0-17,18-44,45-64,65-74,75+,All Asian,Pac Island,Other Race,num_hospitals_pt,num_licensed_beds_pt,num_staffed_beds_pt,num_icu_beds_pt,adult_icu_beds_pt,pedi_icu_beds_pt,potential_increase_in_bed_capac_pt,bed_utilization_pt,avg_ventilator_usage_pt,label_2,label,cases_total,deaths_total,cases_per_capita,deaths_per_capita,case_fatality_rate,num_hospitals_pt,num_licensed_beds_pt,num_staffed_beds_pt,num_icu_beds_pt,adult_icu_beds_pt,pedi_icu_beds_pt,potential_increase_in_bed_capac_pt,bed_utilization_pt,avg_ventilator_usage_pt
1,-0.5645906490944833,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.04687838624925615,-0.044805297618967496,-0.04582682714353541,-0.03971020645273681,0.04012767456006939,-0.11549503587914389,-0.05558801750950117,-0.612476222116143,-0.7652977324127148,-0.4984680858821957,0.14963162239965194,-0.12377652093840957,-0.2862380597515997,-0.06515909480716592,-0.10082584135318368,-0.013226629687234297,0.16606699496737348,0.04141637435339268,-0.22420196066157774,-0.13663248596361377,-0.19822396280100568,-0.2956333180637737,-0.36836535794055963,-0.2288260899998142,-0.015193463912321866,-0.015193463912321866,-0.4662810237024524,-0.4308591677953246,-0.3395857669210247,-0.7370954226885199,3,3,188,4,0.0008421660000000001,1.7899999999999998e-05,0.021276596,-0.2956333180637737,-0.36836535794055963,-0.2288260899998142,-0.015193463912321866,-0.015193463912321866,-0.4662810237024524,-0.4308591677953246,-0.3395857669210247,-0.7370954226885199
3,-0.539953247244524,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.46016434242063387,-0.4697875527937524,-0.46514474924227395,-0.4661236745325181,-0.525368433302344,-0.2725480395490365,-0.30088528790162095,-0.4161826849924662,-0.5089566471865006,-0.16563187463438084,0.9142681562900291,0.0037769531681125074,0.1658170948275661,-0.45116934311998447,-0.4387052539788463,-0.48702011881277296,-0.5049400833473924,-0.5018210313650056,-0.2656815147792833,-0.20748595337815318,-0.32572801938575996,0.15292299132712392,-0.6531258831990229,-0.7645445580668437,-0.48923161552726024,-0.48923161552726024,-0.4662810237024524,-0.08663376267852142,0.5282608125427704,-0.058992212588798686,3,3,42,0,0.001875502,0.0,0,0.15292299132712392,-0.6531258831990229,-0.7645445580668437,-0.48923161552726024,-0.48923161552726024,-0.4662810237024524,-0.08663376267852142,0.5282608125427704,-0.058992212588798686
4,-0.7220493024478694,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.37384161998005255,-0.37523022511881937,-0.37460523405149077,-0.3738804601087811,-0.37994385484785786,-0.3283723200042662,-0.24914289492828318,0.0181868760897717,0.5714297968883152,1.0232993028510549,-2.8786941700080684,-0.5083453966927082,0.05645505665088079,-0.35749898147664444,-0.3657008191057044,-0.3904534078936161,-0.3648965662563256,-0.3997119109843327,-0.2627097518522984,-0.18417889172863364,-0.27718038424081,-0.38869559303700246,-1.1794454468024542,-1.1564630876607151,-0.8039816868082029,-0.8039816868082029,-0.4662810237024524,-0.5796072555449235,-0.02922037378252386,-0.2406054781721462,3,3,40,0,0.00069173,0.0,0,-0.38869559303700246,-1.1794454468024542,-1.1564630876607151,-0.8039816868082029,-0.8039816868082029,-0.4662810237024524,-0.5796072555449235,-0.02922037378252386,-0.2406054781721462
6,-0.06231145838853706,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.4734021772610019,-0.4672362676526267,-0.470323397944441,-0.4713603788589968,-0.5497450922626022,-0.21982366080830623,-0.3017370145349269,0.8013690805109144,-0.45166149715088316,1.5571319650111577,0.3529991618383968,0.5786258898915514,-0.11651688958676912,-0.45269457640895516,-0.45292645529163095,-0.4903226167186662,-0.5005167779803921,-0.4794480178502692,-0.26083284895104475,-0.21307964817403788,-0.3289989593423346,0.2376986839042935,0.26801687629085186,-0.16034771781129564,0.22964981042681604,0.22964981042681604,-0.4662810237024524,0.930402065565216,-0.016733700790079922,1.0171116539373206,3,3,114,1,0.005861785,5.14e-05,0.00877193,0.2376986839042935,0.26801687629085186,-0.16034771781129564,0.22964981042681604,0.22964981042681604,-0.4662810237024524,0.930402065565216,-0.016733700790079922,1.0171116539373206
7,-0.4163177571944221,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.21897561385322928,-0.208051467871238,-0.213430318905286,-0.21085473076748418,-0.2341729012660528,-0.02071358723875507,-0.19952981853821034,0.3533398124632626,0.3567154887399593,-0.11102965502006246,0.2580209389060905,0.8529629998081738,-0.36699743089666903,-0.2205435509773421,-0.20957380277946328,-0.21556733207963652,-0.18304029465833122,-0.2030451485791139,-0.2399366633170875,-0.1301065087017483,-0.2492913172426472,-0.22626159881646407,0.5870778900192636,0.7781404379026423,-0.1359007367030892,-0.1359007367030892,-0.4662810237024524,-0.09372452855987323,-0.30893840939003175,-0.08952913656780515,3,3,105,3,0.000924255,2.64e-05,0.028571429,-0.22626159881646407,0.5870778900192636,0.7781404379026423,-0.1359007367030892,-0.1359007367030892,-0.4662810237024524,-0.09372452855987323,-0.30893840939003175,-0.08952913656780515
8,-0.6443057490410905,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.4570094057372006,-0.4569692777513694,-0.457055742072324,-0.45826589908935944,-0.4980659232666151,-0.3225502356917399,-0.28576714016043997,0.7033209896235445,0.8953989063378252,1.736451769641127,0.9850224509280983,0.9241009323685505,-0.7315061320936749,-0.44732996277188575,-0.4445434313598842,-0.46797850114018597,-0.45544913839208695,-0.47560192328379464,-0.2646804998986147,-0.21867334296992255,-0.3207668329444482,0.04619400636959383,-0.2763054490599415,-0.3812096534238093,0.1109572466842208,0.1109572466842208,-0.4662810237024524,0.07238902686495785,0.005321640707646019,-0.1661410785787727,3,3,16,0,0.00061078,0.0,0,0.04619400636959383,-0.2763054490599415,-0.3812096534238093,0.1109572466842208,0.1109572466842208,-0.4662810237024524,0.07238902686495785,0.005321640707646019,-0.1661410785787727
9,-0.624260965384135,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.41014220321669326,-0.4109224465375979,-0.41060052652961215,-0.41058905050950245,-0.44659050434552144,-0.2831892987958686,-0.2815085069939101,0.29950735014849117,0.5879247624761851,-1.5237316417177016,0.5391569332673739,0.5602113415664802,-0.22417091970001143,-0.3905912844221748,-0.39390506764230365,-0.43089855629806817,-0.4330822357815947,-0.44117468655461967,-0.26230308955702675,-0.16833008980696035,-0.2904519492320793,-0.2756362740263934,-1.0582593196189751,-1.0609395729434608,-0.6562262455729905,-0.6562262455729905,-0.4662810237024524,-0.476071865319379,-0.14877866387147365,-0.013597269925698862,3,3,58,1,0.001305483,2.25e-05,0.017241379,-0.2756362740263934,-1.0582593196189751,-1.0609395729434608,-0.6562262455729905,-0.6562262455729905,-0.4662810237024524,-0.476071865319379,-0.14877866387147365,-0.013597269925698862
11,-0.017800547859156367,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.4606319395100013,-0.4542994480481308,-0.45746624471334946,-0.45811635665012973,-0.5388607632617914,-0.19063509046295632,-0.2925809532268877,0.7387655316547781,-0.269912923540101,-1.0381287552017744,-0.4691997009219843,0.5743316524047629,0.46258582686342353,-0.43867294900069326,-0.4422911741184815,-0.4766841364427464,-0.4784419804413056,-0.47213105745551265,-0.26396102045313413,-0.21587649557198024,-0.3286076985819788,0.851409605532495,0.1971747691591358,-0.12011158848603926,0.4680106941817619,0.4680106941817619,-0.4662810237024524,0.6885309401039541,0.10941572287047532,-0.16131767799212343,3,3,43,1,0.0018203370000000002,4.23e-05,0.023255814,0.851409605532495,0.1971747691591358,-0.12011158848603926,0.4680106941817619,0.4680106941817619,-0.4662810237024524,0.6885309401039541,0.10941572287047532,-0.16131767799212343
12,-0.5818401566413757,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.4895530882213373,-0.4879042543514429,-0.4887828596546553,-0.49063503979898,-0.5498225172910617,-0.31137495976299817,-0.3028016728265594,1.3043708142280186,0.13218022447807357,1.4950639559004841,0.9180935069909163,0.6944819936805605,-0.19363044017382317,-0.4728066181228312,-0.46788253207895186,-0.5098136249290804,-0.5190863146626105,-0.507355655253347,-0.26561895134924157,-0.21960562543590337,-0.32464813968717793,0.7347260752512584,0.1680477421020895,0.5585544708554951,0.01766790193844173,0.01766790193844173,-0.4662810237024524,-0.6606902844642001,0.6022010073282716,2.0150771338858853,3,3,22,1,0.001662259,7.56e-05,0.045454545,0.7347260752512584,0.1680477421020895,0.5585544708554951,0.01766790193844173,0.01766790193844173,-0.4662810237024524,-0.6606902844642001,0.6022010073282716,2.0150771338858853
13,-0.5520736911713623,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.39360969003400054,-0.39427982083922447,-0.39400937812150083,-0.39546079356634173,-0.44407622842133565,-0.229409911488439,-0.17717199441392859,0.6733793410648637,0.47854319746772406,-2.67720664271612,-1.1800399307737708,0.3495909587228846,-0.17384188553061788,-0.3787680967200845,-0.37658105877036596,-0.41683158736980136,-0.40887924415083826,-0.4079200396322967,-0.2462242880362872,-0.12637737883782518,-0.27354948438470794,-0.335441665613725,-0.12483235614685088,-0.23125458627691634,-0.6442162889753127,-0.6442162889753127,-0.4662810237024524,0.14412062715123117,-0.24675794262953674,-0.13367861223807692,3,3,134,0,0.002560086,0.0,0,-0.335441665613725,-0.12483235614685088,-0.23125458627691634,-0.6442162889753127,-0.6442162889753127,-0.4662810237024524,0.14412062715123117,-0.24675794262953674,-0.13367861223807692
